GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
prolobjectlink-jpi-tuprolog,io.github.prolobjectlink.prolog.tuprolog,TuPrologVariable,17,42,0,0,4,10,4,7,4,7
prolobjectlink-jpi-tuprolog,io.github.prolobjectlink.prolog.tuprolog,TuPrologOperator,0,6,0,0,0,2,0,1,0,1
prolobjectlink-jpi-tuprolog,io.github.prolobjectlink.prolog.tuprolog,TuPrologOperatorSet,0,117,0,10,0,29,0,11,0,6
prolobjectlink-jpi-tuprolog,io.github.prolobjectlink.prolog.tuprolog,TuPrologTerm,27,237,7,31,12,56,13,36,7,23
prolobjectlink-jpi-tuprolog,io.github.prolobjectlink.prolog.tuprolog,TuPrologDouble,0,86,0,0,0,15,0,14,0,14
prolobjectlink-jpi-tuprolog,io.github.prolobjectlink.prolog.tuprolog,TuPrologList,0,217,1,9,0,45,1,20,0,16
prolobjectlink-jpi-tuprolog,io.github.prolobjectlink.prolog.tuprolog,TuPrologConsole,6,6,0,0,2,2,1,1,1,1
prolobjectlink-jpi-tuprolog,io.github.prolobjectlink.prolog.tuprolog,TuPrologScriptFactory,0,68,0,6,0,13,0,5,0,2
prolobjectlink-jpi-tuprolog,io.github.prolobjectlink.prolog.tuprolog,TuPrologConverter,10,444,2,60,2,86,2,43,0,8
prolobjectlink-jpi-tuprolog,io.github.prolobjectlink.prolog.tuprolog,TuPrologCut,0,52,1,3,0,7,1,7,0,6
prolobjectlink-jpi-tuprolog,io.github.prolobjectlink.prolog.tuprolog,TuPrologClause,0,38,0,0,0,7,0,3,0,3
prolobjectlink-jpi-tuprolog,io.github.prolobjectlink.prolog.tuprolog,TuPrologFormatter,182,3,18,0,43,1,10,1,1,1
prolobjectlink-jpi-tuprolog,io.github.prolobjectlink.prolog.tuprolog,TuPrologFail,0,52,1,3,0,7,1,7,0,6
prolobjectlink-jpi-tuprolog,io.github.prolobjectlink.prolog.tuprolog,TuPrologEngine,318,778,22,68,47,169,22,56,3,30
prolobjectlink-jpi-tuprolog,io.github.prolobjectlink.prolog.tuprolog,TuPrologFloat,0,86,0,0,0,15,0,14,0,14
prolobjectlink-jpi-tuprolog,io.github.prolobjectlink.prolog.tuprolog,TuPrologTrue,0,49,1,3,0,7,1,7,0,6
prolobjectlink-jpi-tuprolog,io.github.prolobjectlink.prolog.tuprolog,TuPrologEmpty,0,43,1,3,0,7,1,7,0,6
prolobjectlink-jpi-tuprolog,io.github.prolobjectlink.prolog.tuprolog,TuPrologAtom,0,62,1,3,0,10,1,9,0,8
prolobjectlink-jpi-tuprolog,io.github.prolobjectlink.prolog.tuprolog,TuPrologNil,0,52,0,4,0,7,0,8,0,6
prolobjectlink-jpi-tuprolog,io.github.prolobjectlink.prolog.tuprolog,TuPrologQuery,160,528,39,61,35,116,36,32,3,15
prolobjectlink-jpi-tuprolog,io.github.prolobjectlink.prolog.tuprolog,TuPrologStructure,11,174,1,7,3,30,4,13,3,10
prolobjectlink-jpi-tuprolog,io.github.prolobjectlink.prolog.tuprolog,TuPrologInteger,0,86,0,0,0,15,0,14,0,14
prolobjectlink-jpi-tuprolog,io.github.prolobjectlink.prolog.tuprolog,TuPrologIndicator,0,5,0,0,0,2,0,1,0,1
prolobjectlink-jpi-tuprolog,io.github.prolobjectlink.prolog.tuprolog,TuPrologList.TuPrologListIter,0,22,0,0,0,5,0,3,0,3
prolobjectlink-jpi-tuprolog,io.github.prolobjectlink.prolog.tuprolog,TuProlog,25,235,0,10,5,46,3,34,3,29
prolobjectlink-jpi-tuprolog,io.github.prolobjectlink.prolog.tuprolog,TuPrologFalse,0,49,1,3,0,7,1,7,0,6
prolobjectlink-jpi-tuprolog,io.github.prolobjectlink.prolog.tuprolog,TuPrologLogger,34,88,3,5,6,20,4,4,1,3
prolobjectlink-jpi-tuprolog,io.github.prolobjectlink.prolog.tuprolog,TuPrologJavaConverter,0,4,0,0,0,2,0,1,0,1
prolobjectlink-jpi-tuprolog,io.github.prolobjectlink.prolog.tuprolog,TuPrologLong,0,86,0,0,0,15,0,14,0,14
