GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
prolobjectlink-jpi-tuprolog/prolobjectlink-jpi,io.github.prolobjectlink.prolog.spi,ServiceProviderLocator,8,0,0,0,3,0,3,0,3,0
prolobjectlink-jpi-tuprolog/prolobjectlink-jpi,io.github.prolobjectlink.prolog,SyntaxError,12,11,0,0,2,2,1,1,1,1
prolobjectlink-jpi-tuprolog/prolobjectlink-jpi,io.github.prolobjectlink.prolog,AbstractTerm,362,127,79,16,77,27,66,22,16,16
prolobjectlink-jpi-tuprolog/prolobjectlink-jpi,io.github.prolobjectlink.prolog,AbstractCompounds,83,198,30,38,16,63,21,33,0,20
prolobjectlink-jpi-tuprolog/prolobjectlink-jpi,io.github.prolobjectlink.prolog,AbstractProgram,491,0,40,0,99,0,50,0,30,0
prolobjectlink-jpi-tuprolog/prolobjectlink-jpi,io.github.prolobjectlink.prolog,ArityError,0,11,0,0,0,2,0,1,0,1
prolobjectlink-jpi-tuprolog/prolobjectlink-jpi,io.github.prolobjectlink.prolog,ListExpectedError,0,11,0,0,0,2,0,1,0,1
prolobjectlink-jpi-tuprolog/prolobjectlink-jpi,io.github.prolobjectlink.prolog,AbstractClause.BodyIterator,4,33,1,3,1,6,1,4,0,3
prolobjectlink-jpi-tuprolog/prolobjectlink-jpi,io.github.prolobjectlink.prolog,PrologCallable,23,0,0,0,7,0,3,0,3,0
prolobjectlink-jpi-tuprolog/prolobjectlink-jpi,io.github.prolobjectlink.prolog,DefaultClauseBuilder,20,179,0,0,5,50,1,14,1,14
prolobjectlink-jpi-tuprolog/prolobjectlink-jpi,io.github.prolobjectlink.prolog,AbstractEngine,208,166,29,7,49,34,28,27,11,26
prolobjectlink-jpi-tuprolog/prolobjectlink-jpi,io.github.prolobjectlink.prolog,IndicatorError,0,11,0,0,0,2,0,1,0,1
prolobjectlink-jpi-tuprolog/prolobjectlink-jpi,io.github.prolobjectlink.prolog,AbstractConverter,229,364,40,30,39,77,32,22,4,15
prolobjectlink-jpi-tuprolog/prolobjectlink-jpi,io.github.prolobjectlink.prolog,FunctorError,0,11,0,0,0,2,0,1,0,1
prolobjectlink-jpi-tuprolog/prolobjectlink-jpi,io.github.prolobjectlink.prolog,UnknownTermError,0,13,0,0,0,2,0,1,0,1
prolobjectlink-jpi-tuprolog/prolobjectlink-jpi,io.github.prolobjectlink.prolog,AbstractIndicator,15,79,8,6,6,20,7,7,0,7
prolobjectlink-jpi-tuprolog/prolobjectlink-jpi,io.github.prolobjectlink.prolog,AbstractIterator,4,3,0,0,1,1,1,1,1,1
prolobjectlink-jpi-tuprolog/prolobjectlink-jpi,io.github.prolobjectlink.prolog,AbstractOperator,24,137,14,16,9,32,12,11,0,8
prolobjectlink-jpi-tuprolog/prolobjectlink-jpi,io.github.prolobjectlink.prolog,PrologScriptEngineFactory,62,189,17,17,15,38,12,20,1,14
prolobjectlink-jpi-tuprolog/prolobjectlink-jpi,io.github.prolobjectlink.prolog,AbstractBuilder,110,61,24,2,26,16,17,4,4,4
prolobjectlink-jpi-tuprolog/prolobjectlink-jpi,io.github.prolobjectlink.prolog,AbstractClause,67,329,25,39,18,67,32,29,9,20
prolobjectlink-jpi-tuprolog/prolobjectlink-jpi,io.github.prolobjectlink.prolog,Prolog,71,12,0,0,20,3,2,1,2,1
prolobjectlink-jpi-tuprolog/prolobjectlink-jpi,io.github.prolobjectlink.prolog,AbstractEngine.PrologProgramIterator,26,27,1,1,6,7,2,3,1,3
prolobjectlink-jpi-tuprolog/prolobjectlink-jpi,io.github.prolobjectlink.prolog,AbstractLogger,72,3,0,0,22,1,11,1,11,1
prolobjectlink-jpi-tuprolog/prolobjectlink-jpi,io.github.prolobjectlink.prolog,PrologRunnable,38,0,0,0,12,0,4,0,4,0
prolobjectlink-jpi-tuprolog/prolobjectlink-jpi,io.github.prolobjectlink.prolog,PrologError,13,4,0,0,2,2,1,1,1,1
prolobjectlink-jpi-tuprolog/prolobjectlink-jpi,io.github.prolobjectlink.prolog,PrologScriptEngine,9,180,1,11,3,37,1,15,0,10
prolobjectlink-jpi-tuprolog/prolobjectlink-jpi,io.github.prolobjectlink.prolog,DefaultPrologIndicator,0,5,0,0,0,2,0,1,0,1
prolobjectlink-jpi-tuprolog/prolobjectlink-jpi,io.github.prolobjectlink.prolog,AbstractConsole,525,61,44,2,126,16,25,3,2,3
prolobjectlink-jpi-tuprolog/prolobjectlink-jpi,io.github.prolobjectlink.prolog,AbstractQuery,134,97,11,11,36,25,25,12,16,10
prolobjectlink-jpi-tuprolog/prolobjectlink-jpi,io.github.prolobjectlink.prolog,CompoundExpectedError,0,11,0,0,0,2,0,1,0,1
prolobjectlink-jpi-tuprolog/prolobjectlink-jpi,io.github.prolobjectlink.prolog,StructureExpectedError,0,11,0,0,0,2,0,1,0,1
prolobjectlink-jpi-tuprolog/prolobjectlink-jpi,io.github.prolobjectlink.prolog,AbstractJavaConverter,394,109,80,13,71,21,56,9,7,6
prolobjectlink-jpi-tuprolog/prolobjectlink-jpi,io.github.prolobjectlink.prolog,DefaultQueryBuilder,70,63,0,0,17,17,5,6,5,6
prolobjectlink-jpi-tuprolog/prolobjectlink-jpi,io.github.prolobjectlink.prolog,PrologQueryIterator,4,24,1,1,1,8,1,4,0,4
prolobjectlink-jpi-tuprolog/prolobjectlink-jpi,io.github.prolobjectlink.prolog,ArrayIterator,4,38,1,3,1,8,1,4,0,3
prolobjectlink-jpi-tuprolog/prolobjectlink-jpi,io.github.prolobjectlink.prolog,AbstractProvider,240,1072,22,6,54,152,35,17,22,16
