GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
prolobjectlink-jpi-tuprolog,io.github.prolobjectlink.prolog.tuprolog,TuPrologVariable,59,0,0,0,14,0,11,0,11,0
prolobjectlink-jpi-tuprolog,io.github.prolobjectlink.prolog.tuprolog,TuPrologOperator,6,0,0,0,2,0,1,0,1,0
prolobjectlink-jpi-tuprolog,io.github.prolobjectlink.prolog.tuprolog,TuPrologOperatorSet,117,0,10,0,27,0,11,0,6,0
prolobjectlink-jpi-tuprolog,io.github.prolobjectlink.prolog.tuprolog,TuPrologTerm,260,0,38,0,67,0,49,0,30,0
prolobjectlink-jpi-tuprolog,io.github.prolobjectlink.prolog.tuprolog,TuPrologDouble,86,0,0,0,15,0,14,0,14,0
prolobjectlink-jpi-tuprolog,io.github.prolobjectlink.prolog.tuprolog,TuPrologList,217,0,10,0,44,0,21,0,16,0
prolobjectlink-jpi-tuprolog,io.github.prolobjectlink.prolog.tuprolog,TuPrologConsole,12,0,0,0,4,0,2,0,2,0
prolobjectlink-jpi-tuprolog,io.github.prolobjectlink.prolog.tuprolog,TuPrologScriptFactory,64,0,6,0,13,0,5,0,2,0
prolobjectlink-jpi-tuprolog,io.github.prolobjectlink.prolog.tuprolog,TuPrologConverter,454,0,62,0,87,0,45,0,8,0
prolobjectlink-jpi-tuprolog,io.github.prolobjectlink.prolog.tuprolog,TuPrologCut,48,0,4,0,7,0,8,0,6,0
prolobjectlink-jpi-tuprolog,io.github.prolobjectlink.prolog.tuprolog,TuPrologClause,38,0,0,0,7,0,3,0,3,0
prolobjectlink-jpi-tuprolog,io.github.prolobjectlink.prolog.tuprolog,TuPrologFormatter,181,0,18,0,44,0,11,0,2,0
prolobjectlink-jpi-tuprolog,io.github.prolobjectlink.prolog.tuprolog,TuPrologFail,48,0,4,0,7,0,8,0,6,0
prolobjectlink-jpi-tuprolog,io.github.prolobjectlink.prolog.tuprolog,TuPrologEngine,1069,0,90,0,203,0,78,0,33,0
prolobjectlink-jpi-tuprolog,io.github.prolobjectlink.prolog.tuprolog,TuPrologFloat,86,0,0,0,15,0,14,0,14,0
prolobjectlink-jpi-tuprolog,io.github.prolobjectlink.prolog.tuprolog,TuPrologTrue,45,0,4,0,7,0,8,0,6,0
prolobjectlink-jpi-tuprolog,io.github.prolobjectlink.prolog.tuprolog,TuPrologEmpty,43,0,4,0,7,0,8,0,6,0
prolobjectlink-jpi-tuprolog,io.github.prolobjectlink.prolog.tuprolog,TuPrologAtom,58,0,4,0,10,0,10,0,8,0
prolobjectlink-jpi-tuprolog,io.github.prolobjectlink.prolog.tuprolog,TuPrologNil,48,0,4,0,7,0,8,0,6,0
prolobjectlink-jpi-tuprolog,io.github.prolobjectlink.prolog.tuprolog,TuPrologQuery,682,0,100,0,145,0,68,0,18,0
prolobjectlink-jpi-tuprolog,io.github.prolobjectlink.prolog.tuprolog,TuPrologStructure,185,0,8,0,33,0,17,0,13,0
prolobjectlink-jpi-tuprolog,io.github.prolobjectlink.prolog.tuprolog,TuPrologInteger,86,0,0,0,15,0,14,0,14,0
prolobjectlink-jpi-tuprolog,io.github.prolobjectlink.prolog.tuprolog,TuPrologIndicator,5,0,0,0,2,0,1,0,1,0
prolobjectlink-jpi-tuprolog,io.github.prolobjectlink.prolog.tuprolog,TuPrologList.TuPrologListIter,22,0,0,0,5,0,3,0,3,0
prolobjectlink-jpi-tuprolog,io.github.prolobjectlink.prolog.tuprolog,TuProlog,259,0,10,0,52,0,37,0,32,0
prolobjectlink-jpi-tuprolog,io.github.prolobjectlink.prolog.tuprolog,TuPrologFalse,45,0,4,0,7,0,8,0,6,0
prolobjectlink-jpi-tuprolog,io.github.prolobjectlink.prolog.tuprolog,TuPrologLogger,121,0,8,0,25,0,8,0,4,0
prolobjectlink-jpi-tuprolog,io.github.prolobjectlink.prolog.tuprolog,TuPrologJavaConverter,4,0,0,0,2,0,1,0,1,0
prolobjectlink-jpi-tuprolog,io.github.prolobjectlink.prolog.tuprolog,TuPrologLong,86,0,0,0,15,0,14,0,14,0
